# Blade Orbit SFX manifest (canonical). One line per clip:
# file | event id (js/audio.js SFX_SAMPLES / AMBIENCE_SAMPLES) | description of the sound | usage context
# All clips: MOSS-SoundEffect v2.0, 48 kHz mono Opus, loudness-normalised. A synthesised fallback plays if a clip has not decoded yet.
blade-throw.opus | throw | Quick whoosh of a small steel blade spinning through air with a faint metallic ring | Every accepted throw command (js/main.js doThrow), before the embed/miss result sound
blade-embed.opus | embed | Heavy wooden thunk of a knife embedding in a log target with a brief wood crunch | 'embed' rules event: blade lands in a free gap (js/main.js doThrow)
steel-clang.opus | miss-blade | Bright metallic clang of a knife ricocheting off hard steel, ringing decay | 'miss' rules event with blockedBy 'hit-blade': contact overlapped an embedded blade (-100)
sigil-ward.opus | miss-marker | Dull resonant bonk on an enchanted warded surface, low descending warble with a magical hum | 'miss' rules event with blockedBy 'hit-marker': contact overlapped a warded sigil (-200)
stage-win.opus | win | Short triumphant fanfare of rising brass and bell chimes | Terminal state 'won' (goal reached) as the round enters resolving (js/main.js enterResolving)
stage-lose.opus | lose | Short descending phrase of soft mallet notes falling in pitch | Terminal state 'lost' (too-many-misses, marker-struck, time-expired) in enterResolving
ui-click.opus | click | Short crisp wooden button tap | Every DOM button and card press (js/ui.js wireStatic / buildModeList / buildJourneyGrid)
ui-undo.opus | undo | Soft quick rising wooden tick, gentle reversal blip | Undo accepted in practice or tutorial (U key, Undo button, rail action)
ui-pause.opus | pause | Single soft muted wooden knock, low and calm | Round paused via P, Esc, Pause button, gamepad Start, Help/Settings overlay, or hidden tab (js/main.js pause)
ui-hint.opus | hint | Two gentle rising glass bell chimes | Hint requested in practice or tutorial (H key, Hint button); hint line shows the wait
countdown-tick.opus | tick | Single sharp metronome tick struck on a wooden block | Each of the 3, 2, 1 countdown steps before a round goes active (js/main.js runCountdown)
countdown-go.opus | go | Bright clear bell strike with a shimmering tail | The GO step of the countdown; the simulation clock starts at tick 0
ambience-hearth.opus | ambience-hearth | Quiet crackling hearth fire in a wooden hall, soft ember pops, 12 s loop | Ambience bus loop for themes with ambience 'hearth' (Ember Oak, Rose Quarry); cross-fades in over the synth bed (js/audio.js startAmbience)
ambience-wind.opus | ambience-wind | Low steady wind moaning through a dark stone forge with a distant metal creak, 12 s loop | Ambience bus loop for themes with ambience 'wind' (Midnight Forge, Bone Desert)
ambience-chimes.opus | ambience-chimes | Soft distant wind chimes and a breeze through a shrine garden, 12 s loop | Ambience bus loop for the theme with ambience 'chimes' (Jade Shrine)
achievement-chime.opus | achievement | Sparkling ascending celesta and glass bell flourish | Results screen when at least one achievement unlocked this round (js/main.js showResults)
combo-chime.opus | combo | Quick bright rising two-note metallic ping | Layered after 'embed' when the combo streak reaches 3 or more (js/main.js doThrow)
